  Layer 0: freq=1.00, threshold=0.200
  Layer 1: freq=1.80, threshold=0.250
  Layer 2: freq=3.00, threshold=0.300
  Layer 3: freq=5.00, threshold=0.400
  Layer 4: freq=8.33, threshold=0.450
  Layer 5: freq=13.89, threshold=0.500
  Layer 6: freq=23.15, threshold=0.550
  Layer 7: freq=38.58, threshold=0.600
  ep |    tr_CE |   tr_RC |    tr_E |   val_CE |  val_RC |   spike |   best_v | step
------------------------------------------------------------------------------------
   1 |   3.3989 |  0.9429 |  0.0000 |   3.4258 |  0.9428 |  0.0009 |   3.4258 | 64
   2 |   3.1971 |  0.9568 |  0.0084 |   3.2041 |  0.9568 |  0.0316 |   3.2041 | 128
   3 |   3.2402 |  0.9629 |  0.4681 |   3.2593 |  0.9628 |  0.4638 |   3.2041 | 192
   4 |   2.9792 |  0.9502 |  0.5834 |   3.0022 |  0.9502 |  0.4057 |   3.0022 | 256
   5 |   3.2145 |  0.9526 |  0.0122 |   3.2756 |  0.9528 |  0.0120 |   3.0022 | 320
   6 |   2.9269 |  0.9481 |  0.2145 |   2.9293 |  0.9481 |  0.2464 |   2.9293 | 384
   7 |   2.9053 |  0.9535 |  0.3235 |   2.9133 |  0.9534 |  0.3178 |   2.9133 | 448
   8 |   2.9065 |  0.9562 |  0.3046 |   2.9150 |  0.9560 |  0.2907 |   2.9133 | 512
   9 |   2.8941 |  0.9568 |  0.2790 |   2.9007 |  0.9567 |  0.2744 |   2.9007 | 576
  10 |   2.8963 |  0.9595 |  0.2744 |   2.8978 |  0.9597 |  0.2718 |   2.8978 | 640
  11 |   2.9019 |  0.9618 |  0.3246 |   2.9079 |  0.9619 |  0.3228 |   2.8978 | 704
  12 |   2.8986 |  0.9587 |  0.3485 |   2.9021 |  0.9588 |  0.3490 |   2.8978 | 768
  13 |   2.8857 |  0.9613 |  0.2732 |   2.8960 |  0.9610 |  0.2724 |   2.8960 | 832
  14 |   2.8905 |  0.9637 |  0.2835 |   2.8962 |  0.9637 |  0.2808 |   2.8960 | 896
  15 |   2.8892 |  0.9642 |  0.3391 |   2.8947 |  0.9641 |  0.3382 |   2.8947 | 960
  16 |   2.8885 |  0.9650 |  0.3047 |   2.8953 |  0.9650 |  0.3005 |   2.8947 | 1024
  17 |   2.8864 |  0.9660 |  0.3065 |   2.8923 |  0.9659 |  0.3045 |   2.8923 | 1088
  18 |   2.8843 |  0.9658 |  0.3206 |   2.8935 |  0.9657 |  0.3200 |   2.8923 | 1152
  19 |   2.8872 |  0.9677 |  0.2694 |   2.8936 |  0.9677 |  0.2677 |   2.8923 | 1216
  20 |   2.8880 |  0.9667 |  0.2799 |   2.8929 |  0.9668 |  0.2769 |   2.8923 | 1280
  21 |   2.8859 |  0.9674 |  0.3287 |   2.8923 |  0.9675 |  0.3275 |   2.8923 | 1344
  22 |   2.8872 |  0.9682 |  0.3419 |   2.8921 |  0.9682 |  0.3391 |   2.8921 | 1408
  23 |   2.8828 |  0.9684 |  0.3345 |   2.8903 |  0.9685 |  0.3303 |   2.8903 | 1472
  24 |   2.8824 |  0.9668 |  0.3317 |   2.8905 |  0.9668 |  0.3288 |   2.8903 | 1536
  25 |   3.4316 |  0.9056 |  0.0211 |   4.0101 |  0.9056 |  0.0246 |   2.8903 | 1600
  26 |   3.0648 |  0.7519 |  0.4972 |   3.1035 |  0.7519 |  0.5430 |   2.8903 | 1664
  27 |   3.0705 |  0.7515 |  0.3311 |   3.0793 |  0.7516 |  0.3341 |   2.8903 | 1728
  28 |   3.0291 |  0.7551 |  0.2731 |   3.0298 |  0.7554 |  0.2706 |   2.8903 | 1792
  29 |   2.9913 |  0.7581 |  0.3051 |   2.9952 |  0.7585 |  0.3021 |   2.8903 | 1856
  30 |   2.9963 |  0.7583 |  0.2386 |   2.9991 |  0.7586 |  0.2378 |   2.8903 | 1920
  31 |   2.9820 |  0.7616 |  0.2512 |   2.9889 |  0.7619 |  0.2380 |   2.8903 | 1984
  32 |   2.9772 |  0.7631 |  0.2286 |   2.9826 |  0.7634 |  0.2255 |   2.8903 | 2048
  33 |   2.9667 |  0.7708 |  0.1951 |   2.9742 |  0.7712 |  0.1951 |   2.8903 | 2112
  34 |   2.9638 |  0.7716 |  0.2005 |   2.9721 |  0.7717 |  0.1999 |   2.8903 | 2176
  35 |   2.9646 |  0.7771 |  0.1787 |   2.9720 |  0.7770 |  0.1780 |   2.8903 | 2240
  36 |   2.9715 |  0.7775 |  0.2964 |   2.9804 |  0.7778 |  0.2664 |   2.8903 | 2304
  37 |   2.9596 |  0.7803 |  0.1744 |   2.9656 |  0.7809 |  0.1748 |   2.8903 | 2368
  38 |   2.9591 |  0.7819 |  0.1752 |   2.9685 |  0.7822 |  0.1750 |   2.8903 | 2432
  39 |   2.9574 |  0.7882 |  0.1596 |   2.9645 |  0.7883 |  0.1597 |   2.8903 | 2496
  40 |   2.9497 |  0.7899 |  0.2960 |   2.9580 |  0.7902 |  0.2928 |   2.8903 | 2560
  41 |   2.9529 |  0.7934 |  0.2226 |   2.9559 |  0.7937 |  0.2228 |   2.8903 | 2624
  42 |   2.9516 |  0.7929 |  0.1759 |   2.9546 |  0.7930 |  0.1762 |   2.8903 | 2688
  43 |   2.9459 |  0.7936 |  0.2222 |   2.9542 |  0.7938 |  0.2214 |   2.8903 | 2752
  44 |   2.9452 |  0.8012 |  0.1610 |   2.9488 |  0.8013 |  0.1607 |   2.8903 | 2816
  45 |   2.9361 |  0.8033 |  0.1776 |   2.9465 |  0.8033 |  0.1770 |   2.8903 | 2880
  46 |   2.9345 |  0.8046 |  0.1774 |   2.9441 |  0.8048 |  0.1771 |   2.8903 | 2944
  47 |   2.9339 |  0.8065 |  0.2043 |   2.9412 |  0.8068 |  0.2018 |   2.8903 | 3008
  48 |   2.9478 |  0.8128 |  0.3141 |   2.9595 |  0.8130 |  0.2957 |   2.8903 | 3072
  49 |   2.9268 |  0.8117 |  0.1627 |   2.9336 |  0.8120 |  0.1590 |   2.8903 | 3136
  50 |   2.9213 |  0.8152 |  0.1851 |   2.9286 |  0.8157 |  0.1849 |   2.8903 | 3200
  51 |   2.9212 |  0.8163 |  0.1821 |   2.9243 |  0.8168 |  0.1825 |   2.8903 | 3264
  52 |   2.9183 |  0.8162 |  0.1799 |   2.9276 |  0.8163 |  0.1797 |   2.8903 | 3328
  53 |   2.9226 |  0.8173 |  0.1297 |   2.9259 |  0.8180 |  0.1210 |   2.8903 | 3392
  54 |   6.4784 |  0.8186 |  0.2140 |  16.2758 |  0.8190 |  0.2826 |   2.8903 | 3456
  55 |   3.0856 |  0.7804 |  0.0070 |   3.1292 |  0.7806 |  0.0135 |   2.8903 | 3520
  56 |   2.9905 |  0.7813 |  0.3531 |   2.9953 |  0.7816 |  0.3425 |   2.8903 | 3584
  57 |   2.9292 |  0.7862 |  0.4761 |   2.9369 |  0.7862 |  0.4745 |   2.8903 | 3648
  58 |   2.9216 |  0.7868 |  0.4513 |   2.9268 |  0.7871 |  0.4508 |   2.8903 | 3712
  59 |   2.9213 |  0.7858 |  0.4536 |   2.9242 |  0.7860 |  0.4538 |   2.8903 | 3776
  60 |   2.9207 |  0.7962 |  0.4530 |   2.9197 |  0.7968 |  0.4526 |   2.8903 | 3840
  61 |   2.9570 |  0.8028 |  0.6577 |   2.9602 |  0.8033 |  0.6574 |   2.8903 | 3904
  62 |   2.9171 |  0.8009 |  0.4346 |   2.9208 |  0.8008 |  0.4340 |   2.8903 | 3968
  63 |   2.9149 |  0.8021 |  0.4694 |   2.9157 |  0.8022 |  0.4705 |   2.8903 | 4032
  64 |   2.9076 |  0.8081 |  0.4626 |   2.9127 |  0.8081 |  0.4612 |   2.8903 | 4096
  65 |   2.9134 |  0.8085 |  0.4854 |   2.9136 |  0.8090 |  0.4853 |   2.8903 | 4160
  66 |   2.9047 |  0.8142 |  0.4631 |   2.9104 |  0.8143 |  0.4636 |   2.8903 | 4224
  67 |   2.9075 |  0.8172 |  0.4614 |   2.9085 |  0.8173 |  0.4619 |   2.8903 | 4288
  68 |   2.9553 |  0.8183 |  0.4199 |   2.9546 |  0.8188 |  0.4201 |   2.8903 | 4352
  69 |   2.9169 |  0.8266 |  0.4642 |   2.9233 |  0.8262 |  0.4628 |   2.8903 | 4416
  70 |   2.9107 |  0.8269 |  0.4295 |   2.9109 |  0.8272 |  0.4293 |   2.8903 | 4480
  71 |   2.9127 |  0.8268 |  0.4786 |   2.9162 |  0.8270 |  0.4784 |   2.8903 | 4544
  72 |   2.9282 |  0.8346 |  0.4834 |   2.9341 |  0.8346 |  0.4833 |   2.8903 | 4608
  73 |   2.9086 |  0.8368 |  0.4572 |   2.9097 |  0.8368 |  0.4562 |   2.8903 | 4672
  74 |   2.9017 |  0.8448 |  0.4229 |   2.9059 |  0.8449 |  0.4210 |   2.8903 | 4736
  75 |   2.9097 |  0.8440 |  0.4720 |   2.9133 |  0.8440 |  0.4720 |   2.8903 | 4800
  76 |   2.9147 |  0.8481 |  0.4782 |   2.9146 |  0.8481 |  0.4788 |   2.8903 | 4864
  77 |   2.9021 |  0.8465 |  0.4201 |   2.9032 |  0.8468 |  0.4195 |   2.8903 | 4928
  78 |   2.8996 |  0.8477 |  0.4278 |   2.9034 |  0.8477 |  0.4262 |   2.8903 | 4992
  79 |   2.9032 |  0.8594 |  0.4368 |   2.9051 |  0.8596 |  0.4377 |   2.8903 | 5056
  80 |   2.8937 |  0.8542 |  0.4209 |   2.9006 |  0.8544 |  0.4194 |   2.8903 | 5120
  81 |   2.8957 |  0.8587 |  0.4218 |   2.9010 |  0.8586 |  0.4204 |   2.8903 | 5184
  82 |   2.9134 |  0.8601 |  0.4740 |   2.9148 |  0.8602 |  0.4730 |   2.8903 | 5248
  83 |   2.8966 |  0.8642 |  0.4224 |   2.9003 |  0.8644 |  0.4211 |   2.8903 | 5312
  84 |   2.8949 |  0.8677 |  0.4245 |   2.8983 |  0.8677 |  0.4236 |   2.8903 | 5376
  85 |   2.8949 |  0.8662 |  0.4285 |   2.8992 |  0.8665 |  0.4268 |   2.8903 | 5440
  86 |   2.9026 |  0.8669 |  0.4202 |   2.9035 |  0.8670 |  0.4186 |   2.8903 | 5504
  87 |   2.8944 |  0.8811 |  0.4403 |   2.8983 |  0.8811 |  0.4395 |   2.8903 | 5568
  88 |   2.8916 |  0.8791 |  0.4273 |   2.8968 |  0.8791 |  0.4263 |   2.8903 | 5632
  89 |   2.8963 |  0.8757 |  0.4257 |   2.8997 |  0.8755 |  0.4239 |   2.8903 | 5696
  90 |   2.8912 |  0.8850 |  0.4292 |   2.8986 |  0.8850 |  0.4277 |   2.8903 | 5760
  91 |   2.8947 |  0.8892 |  0.4249 |   2.8991 |  0.8891 |  0.4242 |   2.8903 | 5824
  92 |   2.8936 |  0.8900 |  0.4356 |   2.8990 |  0.8899 |  0.4346 |   2.8903 | 5888
  93 |   2.9035 |  0.8905 |  0.4273 |   2.9049 |  0.8908 |  0.4269 |   2.8903 | 5952
  94 |   2.8893 |  0.8958 |  0.4276 |   2.8955 |  0.8957 |  0.4266 |   2.8903 | 6016
  95 |   2.8944 |  0.8930 |  0.4295 |   2.8956 |  0.8931 |  0.4293 |   2.8903 | 6080
  96 |   2.8898 |  0.8956 |  0.4279 |   2.8959 |  0.8953 |  0.4263 |   2.8903 | 6144
  97 |   2.9009 |  0.8952 |  0.4256 |   2.9033 |  0.8953 |  0.4252 |   2.8903 | 6208
  98 |   2.9057 |  0.8939 |  0.4717 |   2.9077 |  0.8942 |  0.4705 |   2.8903 | 6272
  99 |   2.9537 |  0.8966 |  0.4231 |   2.9539 |  0.8966 |  0.4232 |   2.8903 | 6336
 100 |   2.8928 |  0.8971 |  0.4218 |   2.8927 |  0.8972 |  0.4200 |   2.8903 | 6400
 101 |   2.8930 |  0.9122 |  0.4217 |   2.8959 |  0.9121 |  0.4215 |   2.8903 | 6464
 102 |   2.9061 |  0.9036 |  0.4841 |   2.9112 |  0.9036 |  0.4849 |   2.8903 | 6528
 103 |   2.8930 |  0.9038 |  0.4362 |   2.8913 |  0.9040 |  0.4350 |   2.8903 | 6592
 104 |   2.8928 |  0.9083 |  0.4324 |   2.8951 |  0.9084 |  0.4322 |   2.8903 | 6656
 105 |   2.9021 |  0.9087 |  0.4812 |   2.9072 |  0.9087 |  0.4822 |   2.8903 | 6720
 106 |   2.8888 |  0.9161 |  0.4217 |   2.8943 |  0.9161 |  0.4194 |   2.8903 | 6784
 107 |   2.8892 |  0.9133 |  0.4410 |   2.8938 |  0.9133 |  0.4394 |   2.8903 | 6848
 108 |   2.8916 |  0.9126 |  0.4378 |   2.8947 |  0.9125 |  0.4388 |   2.8903 | 6912
 109 |   2.8937 |  0.9217 |  0.4227 |   2.8951 |  0.9220 |  0.4221 |   2.8903 | 6976
 110 |   2.8900 |  0.9128 |  0.4275 |   2.8910 |  0.9131 |  0.4271 |   2.8903 | 7040
 111 |   2.8907 |  0.9157 |  0.4258 |   2.8928 |  0.9159 |  0.4246 |   2.8903 | 7104
 112 |   2.9009 |  0.9219 |  0.4752 |   2.9033 |  0.9220 |  0.4745 |   2.8903 | 7168
 113 |   2.8965 |  0.9255 |  0.4738 |   2.8988 |  0.9255 |  0.4733 |   2.8903 | 7232
 114 |   2.8925 |  0.9260 |  0.4252 |   2.8989 |  0.9258 |  0.4228 |   2.8903 | 7296
 115 |   2.8882 |  0.9175 |  0.4263 |   2.8913 |  0.9175 |  0.4247 |   2.8903 | 7360
 116 |   2.9011 |  0.9185 |  0.4234 |   2.9008 |  0.9186 |  0.4227 |   2.8903 | 7424
 117 |   2.8910 |  0.9254 |  0.4196 |   2.8936 |  0.9253 |  0.4184 |   2.8903 | 7488
 118 |   2.8852 |  0.9225 |  0.4261 |   2.8915 |  0.9224 |  0.4244 |   2.8903 | 7552
 119 |   2.8928 |  0.9192 |  0.4241 |   2.8944 |  0.9192 |  0.4243 |   2.8903 | 7616
 120 |   2.8891 |  0.9230 |  0.4203 |   2.8931 |  0.9228 |  0.4184 |   2.8903 | 7680
 121 |   2.8884 |  0.9274 |  0.4194 |   2.8900 |  0.9273 |  0.4182 |   2.8900 | 7744
 122 |   2.8863 |  0.9210 |  0.4208 |   2.8899 |  0.9208 |  0.4185 |   2.8899 | 7808
 123 |   2.8882 |  0.9264 |  0.4190 |   2.8932 |  0.9262 |  0.4166 |   2.8899 | 7872
 124 |   2.8880 |  0.9314 |  0.4237 |   2.8905 |  0.9313 |  0.4226 |   2.8899 | 7936
 125 |   2.8880 |  0.9362 |  0.4202 |   2.8916 |  0.9361 |  0.4195 |   2.8899 | 8000
 126 |   2.8969 |  0.9350 |  0.4254 |   2.8994 |  0.9348 |  0.4228 |   2.8899 | 8064
 127 |   2.8901 |  0.9383 |  0.4175 |   2.8908 |  0.9382 |  0.4159 |   2.8899 | 8128
 128 |   2.8896 |  0.9354 |  0.4197 |   2.8909 |  0.9354 |  0.4189 |   2.8899 | 8192
 129 |   2.8967 |  0.9328 |  0.4196 |   2.8972 |  0.9327 |  0.4181 |   2.8899 | 8256
 130 |   2.8871 |  0.9432 |  0.4206 |   2.8900 |  0.9429 |  0.4196 |   2.8899 | 8320
 131 |   2.8861 |  0.9384 |  0.4198 |   2.8887 |  0.9382 |  0.4187 |   2.8887 | 8384
 132 |   2.8866 |  0.9333 |  0.4187 |   2.8898 |  0.9331 |  0.4160 |   2.8887 | 8448
 133 |   2.8917 |  0.9351 |  0.4179 |   2.8912 |  0.9349 |  0.4166 |   2.8887 | 8512
 134 |   2.8897 |  0.9392 |  0.4190 |   2.8893 |  0.9391 |  0.4173 |   2.8887 | 8576
 135 |   2.8925 |  0.9367 |  0.4188 |   2.8951 |  0.9365 |  0.4175 |   2.8887 | 8640
 136 |   2.8882 |  0.9411 |  0.4185 |   2.8881 |  0.9410 |  0.4177 |   2.8881 | 8704
 137 |   2.8939 |  0.9465 |  0.4200 |   2.8913 |  0.9465 |  0.4198 |   2.8881 | 8768
 138 |   2.8863 |  0.9389 |  0.4192 |   2.8883 |  0.9388 |  0.4175 |   2.8881 | 8832
 139 |   2.8869 |  0.9389 |  0.4197 |   2.8881 |  0.9388 |  0.4192 |   2.8881 | 8896
 140 |   2.8909 |  0.9450 |  0.4197 |   2.8919 |  0.9448 |  0.4177 |   2.8881 | 8960
 141 |   2.8869 |  0.9467 |  0.4180 |   2.8890 |  0.9465 |  0.4159 |   2.8881 | 9024
 142 |   2.8938 |  0.9446 |  0.4212 |   2.8945 |  0.9445 |  0.4202 |   2.8881 | 9088
 143 |   2.8881 |  0.9432 |  0.4190 |   2.8905 |  0.9431 |  0.4178 |   2.8881 | 9152
 144 |   2.8931 |  0.9437 |  0.4184 |   2.8964 |  0.9435 |  0.4172 |   2.8881 | 9216
